age,work_experience,time_in_role,tenure,salary_satisfaction,covid_impact,economic_impact,political_concern,career_growth,work_life_balance,manager_relationship,wfh_available,critical_skill,attrition_risk,recommended_strategy,confidence,dominant_issue,success_probability
50,0.8105940172725964,0.8105940172725964,0.8105940172725964,2.005483933615111,8.030368561770285,5.226683837268121,5.680966996685851,7.924756240692035,9.077429935229196,1.1217883698879536,0,1,91.00710752395233,salary_increase,89.3499286484469,salary,0.5163856702151521
24,2.0,2.0,2.0,6.508603062595329,2.2233504883434354,6.007778510914603,7.8976857154380316,8.161701172078052,5.263658117312917,6.751129267681388,1,0,73.93232235044985,recognition_reward,60.019446277286505,general,0.7776807051588263
27,0.932480927542468,0.932480927542468,0.932480927542468,0.0,1.7954590896397633,7.1590415723959575,9.283542232028152,5.192832958060517,6.838204211195286,4.093944421566995,0,0,95.0,salary_increase,92.8976039309899,salary,0.6117007403531849
22,0.0,0.0,0.0,2.3803234935454656,2.699895306102378,7.041100106762306,2.9836934209050345,7.199293951569641,5.64453575745869,5.179233382627399,1,1,88.5006948192112,salary_increase,74.75032406531477,salary,0.7187787356776065
48,3.295242081965658,1.2069193617062781,3.295242081965658,2.665592897719875,3.9988333094187616,1.4869376848907188,3.9498182223782705,5.595300897016694,3.9437684588249238,3.162807073968884,1,0,93.13148616076413,salary_increase,77.36271252078174,salary,0.7473924665198524
49,10.619800343522499,4.127217701211424,10.619800343522499,5.475842462412919,3.6782408723548077,4.648560267654885,4.595893812245295,4.3446757068044635,5.215783693735685,3.072970103735763,1,1,89.40775149031649,manager_change,64.63514948132118,manager,0.4034760652655954
29,3.0550462013637385,1.6581457002645195,3.0550462013637385,2.2593355117966114,4.598312478084211,5.277351773140541,5.945247108829682,7.173454046078548,8.009973761405265,5.116467953547974,1,0,85.76685398269811,salary_increase,73.05498366152541,salary,0.7403527257773834
47,16.97614793046104,0.6928620338993154,16.97614793046104,4.789587287047056,3.581887554246956,9.291340034367089,4.0189273497386235,3.867404540794456,6.199302730175282,4.993048691767601,1,0,92.90291551832583,promotion,69.05707170595237,career,0.6560465291496405
40,1.7149307679817862,0.2528030938583893,1.7149307679817862,4.641344425923276,3.097365308545591,4.517882477976177,6.792747880128884,1.578940842949938,6.237956983791971,8.00097121552421,0,0,90.30551856048316,promotion,75.13161973156289,career,0.7501789149863857
37,9.096389396429009,5.452831423491533,9.096389396429009,5.381052155648149,2.493609693558862,5.029688499635123,6.349666023982943,2.566290215281522,8.098694784641731,8.650211323028401,0,1,80.74369161222299,promotion,68.96068615449049,career,0.5186245437484001
42,0.7880649916929882,0.7880649916929882,0.7880649916929882,7.16807374744111,3.438033045544622,8.443578937261108,6.118562568106392,4.7182028910652996,7.744323718706908,8.600690295993079,1,1,75.4763036074335,wellness_program,66.10894734315278,external_stress,0.5150926341207777
40,3.3945675787395193,3.3945675787395193,3.3945675787395193,1.6411905898314179,0.5919650001397562,5.3426020487969685,4.100961909642283,3.806205336874495,5.777592000379462,2.501861131656773,1,0,95.0,salary_increase,86.3929815625149,salary,0.8221065703631557
