age,work_experience,time_in_role,salary_satisfaction,covid_impact,economic_impact,political_concern,wfh_available,career_growth_opportunity,work_life_balance,manager_relationship,salary_contribution,career_contribution,work_life_contribution,manager_contribution,covid_contribution,economic_contribution,political_contribution
50,0.8105940172725964,0.8105940172725964,2.005483933615111,8.030368561770285,5.226683837268121,5.680966996685851,0,5.044443653223966,5.14441417279331,4.936365179563545,22.728598492521307,24.763790677993,20.180117749609565,13.566021079414464,5.795389746402092,7.072527949337905,5.893554304721653
37,1.0598816002000975,0.23744328299166112,4.706311245571625,4.398169602797137,7.043356661092809,7.329308685499704,0,3.501846953113289,4.4432359858182116,7.8976857154380316,21.525703116622168,27.562014438564947,18.12465684397703,12.539830524494286,3.3270905919314364,9.990186742046657,6.930517742363479
29,0.13997488577391634,0.13997488577391634,8.952126465097566,5.434668040445326,3.4808833511580843,7.476933159990821,0,5.342736562379941,3.9818293142697847,2.833411572926225,20.506508577543727,31.808314409815345,17.60344893215112,14.704358974754388,3.922136928840761,4.710212186016079,6.745019990878566
39,3.103438943800805,2.2092634075203685,5.241041197575646,4.248001244127996,8.44011037639657,4.408738015725974,0,6.861168801542204,7.355534819346683,7.3968805184219235,22.565514933161385,25.77534367896181,17.198623646532702,13.733777047943759,3.441477891804011,12.820641224316354,4.464621577279974
49,7.954118286632891,2.4407529792809353,5.4340051591620115,2.07734214505591,5.07413885021885,6.723272050095268,1,3.7097604907897512,8.990868505766947,6.676362503986639,23.208689070767463,30.35714830603703,13.89384319906188,14.689982477849242,1.7445031728911702,7.989642568899227,8.116191204493996
48,2.958715355109068,1.3945354847710685,5.217617670595428,1.5946532963143367,7.622902219597326,7.4874225675424535,0,6.002896663049611,8.316373305864055,6.514233740112559,21.52321856346249,25.472593234472708,18.83198436627584,13.598081454883154,1.2310563016837925,11.03400716817732,8.309058911044708
41,8.923253620942244,1.93774975491543,5.786282239657929,1.8633950452881944,6.107298782563663,3.1692585158991715,0,4.158709354469282,6.905872653067019,5.667878183297869,22.71016432607706,29.622600206446535,18.0500791674927,15.214144046464776,1.553499846721041,9.546775668875487,3.302736737922401
53,2.9258112230406077,2.9258112230406077,5.64387597680691,2.5364859185966293,2.9690384470720916,5.134781438903974,0,5.955508198867054,5.481942710522219,4.850581584773201,22.387720907597338,27.012668282148944,22.53656711842239,15.411268775287185,2.072438447194543,4.548479884954889,6.0308565843947015
47,16.97614793046104,0.6928620338993154,3.946254449150291,3.581887554246956,9.291340034367089,4.0189273497386235,0,3.867404540794456,9.413209907356924,7.747178831270759,22.226298779809813,27.24769077307865,17.562470878640728,12.655834865778626,2.7161666110026887,13.210646895638398,4.380891196051104
40,4.967384552217944,4.145271439943806,3.199255017852967,1.9182172818754557,2.883835180517041,7.354372131164199,1,3.7487674095341363,4.955077040934834,6.026067799533102,25.730178321650232,30.80319785398663,14.025954438723092,15.34418915096265,1.6369718331073615,4.614398685209451,7.845109716360592
23,1.0,1.0,5.944423979932729,3.9890805680290824,6.4278829505759285,7.707995572989803,1,8.577187714650925,4.029236405748625,3.812119181863052,24.393675181226193,28.764063591103167,12.802115550357533,14.753305194174601,2.996405015128229,9.05309211356652,7.237343354443766
23,1.0,1.0,6.836252662200114,0.8533857318860483,3.413047230786625,9.793585965307894,1,3.2209711407489534,4.368379430069123,5.845796581171792,23.411771944363554,35.837076278439426,12.593228374686714,13.562685156553766,0.638906159063179,4.791100353523102,9.165231733370248
29,3.9893375429459326,3.9595631317209996,5.852879937041609,6.294328537963132,2.9701110303543827,5.751735222236681,1,6.480681635895477,4.30641256386319,2.9703055506282707,24.917526229790038,32.13487356165724,12.888425837511717,15.495593462753654,4.8112200615991965,4.256765938643606,5.495594908044566
44,1.2504947484952487,1.2504947484952487,1.6464912551345892,0.5032311577530314,6.559919043246971,3.633920777329895,0,5.899548076977467,9.557848687771923,4.666113250086974,26.46096611835853,27.489968888535437,15.898063920018998,15.76193208790963,0.41745905586585663,10.20342826611464,3.768181663196905
46,3.7819896064030347,0.21278979191174888,0.7704543593742423,1.9235850263564118,1.267757355424217,6.299667432679196,0,5.2818147361426435,2.016924426937172,6.852051733668004,25.477242270087995,26.332804272226333,24.390786110825104,13.450907819726163,1.4903532457234974,1.8416845339153984,7.016221747495504
29,5.878591761782941,0.6077950085747584,3.1740834207071584,1.4089047563324006,8.047829584259803,6.884148033733463,1,4.111002511561635,2.6617352818189364,4.45636184448649,25.02870614053777,31.98242167369449,12.399104550029467,13.240185749827296,0.973714632404714,10.428698324983484,5.9471689285227844
22,0.0,0.0,9.153254326520386,2.4108606872932796,8.488024108227357,4.639991331764115,0,4.473188310265454,7.3981847637199785,7.199793267422011,20.66496524392471,33.504664051693105,15.558840881201155,12.55632912320219,1.7702506306132422,11.686124774944833,4.258825294420766
57,0.7607788512008999,0.7607788512008999,9.081028259829088,0.8689357676059695,4.680468179092171,7.819476349919634,0,4.595084948336898,6.121793214234321,7.294325393574088,19.095457269293874,28.343772416895245,21.796734706102054,13.81760839244624,0.7050580593082798,7.1207834069042075,9.120585749050095
45,4.522497101884927,2.129578044440379,5.315237069560073,3.250567801695779,5.090491522445867,4.9099247693058174,0,2.46523539697533,2.912549194616208,8.233786880403358,21.99067115403425,29.98065157912526,20.109274992189796,12.927100990207089,2.574045564236117,7.558193246440818,4.860062473766662
47,1.536628753179474,1.536628753179474,3.4444070877343025,1.5337101621987999,7.982010424803715,4.879637919606061,1,4.958196812071704,6.234654766617564,8.555329791576849,24.363785083358927,28.08048024989866,15.26268443441017,13.116466974714209,1.250775973439002,12.205337632989046,5.720469651189974
45,8.073133125058629,2.063080147690999,3.521071527910425,5.187571434124553,9.692744773036267,4.820694286625669,0,4.403397553672585,6.784083779465192,5.750949504812631,22.17695947947618,26.201979075512316,16.20340093710133,13.539576341854499,3.8620079564266003,13.52997902357884,4.486097186050233
52,12.031798160415958,2.1299932276381597,2.954448291916319,4.3896911251572766,5.5652058144616845,5.982365907508385,1,4.381814981606157,7.607626102752517,7.227682682950849,24.579201339951844,28.45577744623833,14.245250779439466,13.797102467580668,3.5461194637684468,8.429501684685519,6.947046818335714
59,0.3514220866744203,0.3514220866744203,8.39470197024997,1.7884497534507267,6.843188910704234,4.563111557495128,1,4.573105696576306,1.925848130055722,9.140064561085344,20.563385477241695,29.57861596742781,18.704195805924666,13.235978597166953,1.5130684514406136,10.855295097112267,5.549460603686007
47,1.6034181865155936,1.424899578540641,3.5644963779808023,0.5418501672362845,8.714618414786399,7.523143682595193,1,5.114825895512742,4.311784535182507,8.717633266665457,23.26257531296791,26.764618840085912,15.823486430038136,12.485296694203404,0.42383507351510763,12.781073393843489,8.459114255346032
53,3.247768259633656,0.9740521898182998,4.284133709585201,2.155306633677651,6.527683908265201,4.205527337277388,1,8.051659914501663,5.71343348256584,4.79879063750083,24.605647477919554,25.667613745077745,16.26663792694549,16.075473058488935,1.8331169865218249,10.409778881266622,5.1417319237798225
45,3.871732114955909,0.8121835497378254,4.605690104364742,1.2481157012392805,5.761595046285474,9.752341678431772,1,3.203170657303284,6.983838343013011,3.3595335859587157,22.902428307013707,29.537837935544093,12.108624467866482,16.017535020521944,1.0005699171356106,8.66037300113693,9.772631350781237
51,8.04156952018768,0.11568234663280696,9.578646914635884,2.7815856559293364,8.382321964055786,6.551270315774815,1,5.557446069941323,2.811144682411266,4.801249954092454,18.407386911830212,26.928017723269853,17.15523179095912,15.142422732734378,2.22867911001709,12.592753849930657,7.545507881258695
27,4.706914574998937,1.9107825013481157,5.798843947171787,2.169650067137986,8.157449489496681,4.441839541504249,0,5.671897485708321,6.988818574499658,5.996728066711804,23.546960827757697,31.34146323133323,15.548022973569228,12.974681014718204,1.5637044601205736,11.023528929103405,4.001638563397642
24,2.0,2.0,3.934919153588951,3.848992043172526,4.833687337004416,8.116848973699176,1,1.4825210271537714,7.772127120492306,5.725844357916294,24.777787052963767,35.894412698178904,10.271571466360836,12.819617491185106,2.7102957536474084,6.381892705770607,7.144422831893382
59,2.3979749252579654,2.3979749252579654,5.550185822009053,0.5034726333383688,9.389171864242286,8.41183041448517,1,5.97018822322655,1.874948652176501,10.0,21.506621350521645,25.834328099803887,17.317611405091053,11.72830800482801,0.3936588077196152,13.76488744176234,9.454584890273454
32,0.5978402642700662,0.5978402642700662,2.2453630000455984,2.846953236739356,3.6100481395530175,4.939484763255118,0,3.4142543354753117,3.131822261534952,5.6169343521734145,24.576950422839953,28.773418552949543,19.82665311720081,14.394264895495251,2.2408885263020886,5.327876932780991,4.859947552431362
55,0.5512979140622848,0.5512979140622848,3.4369045411161085,2.132249058898957,7.938157205721481,4.449536412664624,1,4.9296061230750325,6.113117899178336,6.3841807612652985,24.043243733595478,27.734842815810428,15.134632576699403,14.250369748367902,1.7155357984268187,11.97520125796226,5.146174069137711
23,1.0,0.09343238080369616,8.992781806302027,5.156711372252119,4.366881068357184,4.378988306041562,1,3.1909162324258578,4.706854231514947,3.83690399277121,21.595860651493783,36.491878808016295,12.639804741171693,14.942339511168248,3.9268202847758724,6.235062883064124,4.168233120309984
46,8.848319599772099,2.2509970346988997,7.638327491366036,3.5494512171192354,6.953209357930097,5.619322643832784,1,6.852355095063283,9.818833280940261,3.2028648523617176,21.384649041374757,27.05545434487146,13.509589551325115,17.08421199190344,3.0172169133798405,11.082350971521105,6.866527185624297
43,1.0212870330307162,1.0212870330307162,6.407423091726427,4.483463795370105,4.857300840540552,5.982418887393289,1,5.9028223972949965,7.132680261038045,7.663636352210526,23.5919171690781,29.451282364696198,13.33889683043547,14.890492691432394,3.9851897070910685,8.095275019543685,6.646946217723077
32,3.390910245834346,0.821187577026627,3.3434406026353836,3.221087736910317,3.801294697029185,7.595472629157269,0,10.0,2.7779887800895575,5.702897189985901,24.768649345177927,22.713204050706754,21.07837825597004,15.050865108132289,2.660408110315391,5.886789689351821,7.8417054403457795
31,3.1816332875389937,1.990287402117099,3.9813496559118366,4.824993505187644,8.97613253609772,6.903031884037939,1,6.287605203408637,4.9831880902124945,3.516318966588933,22.789686086746013,25.385117098525306,12.782103668677843,15.46467038556657,3.756624520390085,13.103628875531736,6.7181693645624385
22,0.0,0.0,4.700372701586003,3.3001153865959636,4.9405702569497265,10.0,1,7.40242784432789,5.183849253956897,1.9237509296442923,24.938640035128753,29.493934200047583,11.891280118951604,15.37535757265029,2.4096501861896864,6.763994196932122,9.127143690099942
59,3.104211801475603,1.4439483822800905,2.4797842227064897,0.31570239912889053,0.8601774413714101,4.236242209911872,1,6.025209944752442,9.41164971867537,5.935339498149772,29.151252017454475,31.039189028815805,15.26598972813301,16.993931265677727,0.2972560736683253,1.5185957343786727,5.733786151871991
48,6.215960054784288,0.4112283003158522,2.271523906766324,1.4512758125117844,3.6590452707817884,4.979967202290506,1,4.460250129413257,4.042472568435385,5.111413479847776,25.803986569850046,29.048761460410837,16.90916518040594,15.440799322428326,1.2004891513542664,5.6751499017506735,5.921648413799922
25,3.0,3.0,5.9432512326121305,3.6682179508307193,5.414036912393339,4.218313315097845,1,0.35056067709519745,6.5599372526396404,3.749021905403247,23.257685803459786,37.95406819580914,11.01599891018738,14.099462309380476,2.6269446953661575,7.269730018516583,3.7761100672804906
39,3.781377272012291,0.04569045101624308,9.455409046340197,4.467466318276772,4.28492968535957,4.9775686471376295,1,3.020790359482838,5.748426159800704,6.111449824577389,20.496445926290743,32.89731557058472,14.113599335992163,15.888379185627292,3.9617751791861755,7.124813679022179,5.517671123296722
36,2.0366593736360543,0.14079537310823448,7.735478796177372,4.963781029391108,9.757343508101394,8.540251093151431,1,3.3630515659152174,5.48081729727279,2.9937140937637876,18.982212732350913,27.756718552674613,12.194282721450934,15.349953991520533,3.7617815195408015,13.86480673877414,8.090243743688077
45,3.447512793370322,0.4523462364478876,3.2042414595731286,3.9289479177410676,2.0301135922469844,6.351913314442489,0,2.87948345210776,3.764109687266099,3.274592792920042,23.596780965884786,29.190049962838437,19.253126579111015,15.68988562469952,3.0754626350927006,2.979585102361408,6.215109130012124
40,1.719361128503363,1.5788691309045078,0.22186580026493985,0.461705293381914,8.748129567108801,4.872467115753929,1,0.0,5.402724416402964,4.568380262262766,25.20322089783445,31.0334453256472,12.14401692928193,14.349650557703978,0.347352872211625,12.34020911920676,4.582104298114046
